,Compound,Date,Negative,Neutral,Positive,Source,Text
67,0.7717,03/28/2018,0.675,0.0,0.325,@CBS,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…"
68,0.6908,03/28/2018,0.725,0.0,0.275,@CBS,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ"
69,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01"
70,0.0,03/28/2018,1.0,0.0,0.0,@CBS,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA
71,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…"
72,0.4404,03/28/2018,0.884,0.0,0.116,@CBS,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…"
73,0.5562,03/28/2018,0.848,0.0,0.152,@CBS,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…
74,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…"
75,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…"
76,0.4482,03/28/2018,0.895,0.0,0.105,@CBS,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! 💻 You can be…"
77,0.784,03/28/2018,0.734,0.0,0.266,@CBS,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…
78,0.9359,03/28/2018,0.571,0.0,0.429,@CBS,RT @TheTalkCBS: TODAY: We loved them together then &amp; we love seeing them together now! Welcome back to the show @THESaraGilbert​'s good fri…
79,-0.5423,03/28/2018,0.816,0.184,0.0,@CBS,"RT @thegoodfight: As foundations begin to crumble, our characters struggle to make sense of this new dystopian world. The cast teases what'…"
80,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"#LivingBiblically's @linzkraft and @jrfergjr appeared on @KCBS's Facebook Live this morning, talking all about what… https://t.co/4RebcHuuMQ"
81,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @CBSSports: Introducing CBS Sports HQ, a New 24/7 Direct-to-Consumer Streaming Network for Sports News, Highlights, &amp; Analysis.

Stream…"
82,0.7644,03/28/2018,0.769,0.0,0.231,@CBS,"RT @CBSBigBrother: It’s down to the final 5 celebrity Houseguests, and anyone could take home the grand prize! Tune in NOW to watch the #BB…"
