City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed,URL
montes altos,br,-5.83,-47.07,81.26420000000002,83,56,1.32,"http://api.openweathermap.org/data/2.5/weather?q=montes altos,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
mayumba,ga,-3.44,10.65,80.9042,98,24,1.82,"http://api.openweathermap.org/data/2.5/weather?q=mayumba,ga&appid=4cc2a844092656dedc2d4db74f22bdb6"
kalemie,cd,-5.95,29.2,73.52420000000001,100,92,1.32,"http://api.openweathermap.org/data/2.5/weather?q=kalemie,cd&appid=4cc2a844092656dedc2d4db74f22bdb6"
kigoma,tz,-4.88,29.64,70.73419999999993,100,88,2.52,"http://api.openweathermap.org/data/2.5/weather?q=kigoma,tz&appid=4cc2a844092656dedc2d4db74f22bdb6"
rumonge,bi,-3.97,29.44,68.0342,100,92,3.32,"http://api.openweathermap.org/data/2.5/weather?q=rumonge,bi&appid=4cc2a844092656dedc2d4db74f22bdb6"
baturaja,id,-4.12,104.17,71.81419999999997,98,92,1.72,"http://api.openweathermap.org/data/2.5/weather?q=baturaja,id&appid=4cc2a844092656dedc2d4db74f22bdb6"
paragominas,br,-3,-47.35,78.38420000000002,93,20,1.97,"http://api.openweathermap.org/data/2.5/weather?q=paragominas,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
nisia floresta,br,-6.09,-35.21,82.39999999999992,74,20,3.6,"http://api.openweathermap.org/data/2.5/weather?q=nisia floresta,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
natal,br,-5.81,-35.21,82.39999999999992,74,20,3.6,"http://api.openweathermap.org/data/2.5/weather?q=natal,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
fonte boa,br,-2.51,-66.09,89.9042,56,24,3.42,"http://api.openweathermap.org/data/2.5/weather?q=fonte boa,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
gamba,ga,-2.72,10.02,82.52420000000001,98,68,2.82,"http://api.openweathermap.org/data/2.5/weather?q=gamba,ga&appid=4cc2a844092656dedc2d4db74f22bdb6"
cibitoke,bi,-2.89,29.12,58.76420000000002,100,92,0.52,"http://api.openweathermap.org/data/2.5/weather?q=cibitoke,bi&appid=4cc2a844092656dedc2d4db74f22bdb6"
bukavu,cd,-2.51,28.86,59.0342,100,88,1.47,"http://api.openweathermap.org/data/2.5/weather?q=bukavu,cd&appid=4cc2a844092656dedc2d4db74f22bdb6"
salinas,ec,0.49,-78.13,58.99999999999994,67,40,3.1,"http://api.openweathermap.org/data/2.5/weather?q=salinas,ec&appid=4cc2a844092656dedc2d4db74f22bdb6"
touros,br,-5.2,-35.46,82.7942000000001,77,92,5.37,"http://api.openweathermap.org/data/2.5/weather?q=touros,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
irituia,br,-1.77,-47.44,82.43419999999998,80,80,3.12,"http://api.openweathermap.org/data/2.5/weather?q=irituia,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
harper,lr,4.38,-7.71,81.26420000000002,100,80,3.92,"http://api.openweathermap.org/data/2.5/weather?q=harper,lr&appid=4cc2a844092656dedc2d4db74f22bdb6"
omboue,ga,-1.57,9.26,82.43419999999998,100,56,2.77,"http://api.openweathermap.org/data/2.5/weather?q=omboue,ga&appid=4cc2a844092656dedc2d4db74f22bdb6"
goma,cd,-1.67,29.23,59.754200000000026,100,92,0.97,"http://api.openweathermap.org/data/2.5/weather?q=goma,cd&appid=4cc2a844092656dedc2d4db74f22bdb6"
san cristobal,ec,-1.02,-79.44,63.26420000000002,100,76,0.72,"http://api.openweathermap.org/data/2.5/weather?q=san cristobal,ec&appid=4cc2a844092656dedc2d4db74f22bdb6"
maraa,br,-1.83,-65.37,85.76420000000002,73,64,2.47,"http://api.openweathermap.org/data/2.5/weather?q=maraa,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
capanema,br,-25.67,-53.8,69.80000000000001,100,75,3.1,"http://api.openweathermap.org/data/2.5/weather?q=capanema,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
sao gabriel da cachoeira,br,-0.13,-67.09,90.35420000000005,59,20,1.77,"http://api.openweathermap.org/data/2.5/weather?q=sao gabriel da cachoeira,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
salinopolis,br,-0.61,-47.36,82.43419999999998,94,92,5.47,"http://api.openweathermap.org/data/2.5/weather?q=salinopolis,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
port-gentil,ga,-0.72,8.78,78.80000000000001,88,20,1,"http://api.openweathermap.org/data/2.5/weather?q=port-gentil,ga&appid=4cc2a844092656dedc2d4db74f22bdb6"
libreville,ga,0.39,9.45,82.39999999999992,78,20,1,"http://api.openweathermap.org/data/2.5/weather?q=libreville,ga&appid=4cc2a844092656dedc2d4db74f22bdb6"
butembo,cd,0.12,29.29,60.56419999999997,98,76,1.22,"http://api.openweathermap.org/data/2.5/weather?q=butembo,cd&appid=4cc2a844092656dedc2d4db74f22bdb6"
mogadishu,so,2.04,45.34,80.18419999999998,100,80,7.72,"http://api.openweathermap.org/data/2.5/weather?q=mogadishu,so&appid=4cc2a844092656dedc2d4db74f22bdb6"
thinadhoo,mv,0.53,72.93,85.76420000000002,96,92,5.57,"http://api.openweathermap.org/data/2.5/weather?q=thinadhoo,mv&appid=4cc2a844092656dedc2d4db74f22bdb6"
kijang,id,0.9,104.63,79.9142,97,24,4.02,"http://api.openweathermap.org/data/2.5/weather?q=kijang,id&appid=4cc2a844092656dedc2d4db74f22bdb6"
cocobeach,ga,1.01,9.58,82.39999999999992,78,20,1,"http://api.openweathermap.org/data/2.5/weather?q=cocobeach,ga&appid=4cc2a844092656dedc2d4db74f22bdb6"
beni,cd,0.49,29.47,66.05419999999998,95,88,1.67,"http://api.openweathermap.org/data/2.5/weather?q=beni,cd&appid=4cc2a844092656dedc2d4db74f22bdb6"
wamba,cd,2.14,27.99,68.75420000000003,96,56,0.87,"http://api.openweathermap.org/data/2.5/weather?q=wamba,cd&appid=4cc2a844092656dedc2d4db74f22bdb6"
